Movie,Year,Review_link,full_link
69) Singin' In The Rain,1952,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/gene-kelly/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/gene-kelly/
68) Ghostbusters,1984,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/ghostbusters-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/ghostbusters-review/
67) Memento,2000,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
66) Return Of The Jedi,1983,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-phantom-menace-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/star-wars-episode-phantom-menace-review/
65) Avengers Assemble,2012,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joss-whedon/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joss-whedon/
64) L.A. Confidential,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/curtis-hanson/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/curtis-hanson/
63) Donnie Darko,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/richard-kelly/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/richard-kelly/
62) La La Land,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/
61) Forrest Gump,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/robert-zemeckis/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/robert-zemeckis/
60) American Beauty,1999,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sam-mendes/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sam-mendes/
59) E.T. â The Extra Terrestrial,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/et-extra-terrestrial-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/et-extra-terrestrial-review/
58) Inglourious Basterds,2009,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/
57) Whiplash,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/damien-chazelle/
56) Reservoir Dogs,1992,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/quentin-tarantino/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/quentin-tarantino/
55) Pan's Labyrinth,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/guillermo-del-toro/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/guillermo-del-toro/
54) Vertigo,1958,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/
53) Psycho,1960,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/psycho-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/psycho-review/
52) Once Upon A Time In The West,1968,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sergio-leone/
51) It's A Wonderful Life,1946,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/frank-capra/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/frank-capra/
50) Lawrence Of Arabia,1962,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lean/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lean/
49) Trainspotting,1996,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shallow-grave-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/shallow-grave-review/
48) The Silence Of The Lambs,1991,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jonathan-demme/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jonathan-demme/
47) Interstellar,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
46) Citizen Kane,1941,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/orson-welles/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/orson-welles/
45) Drive,2011,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/nicolas-winding-refn/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/nicolas-winding-refn/
44) Gladiator,2000,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/ridley-scott/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/ridley-scott/
43) One Flew Over The Cuckoo's Nest,1975,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/milos-forman/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/milos-forman/
42) There Will Be Blood,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/daniel-day-lewis/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/daniel-day-lewis/
41) Eternal Sunshine Of The Spotless Mind,2004,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michel-gondry/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michel-gondry/
40) 12 Angry Men,1957,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sidney-lumet/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sidney-lumet/
39) Saving Private Ryan,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/saving-private-ryan-review/
38) Mad Max: Fury Road,2015,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/george-miller/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/george-miller/
37) The Thing,1982,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/john-carpenter/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/john-carpenter/
36) The Departed,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
35) The Shining,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/
34) Guardians Of The Galaxy,2014,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michael-rooker/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/michael-rooker/
33) Schindler's List,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/schindler-list-review/
32) The Usual Suspects,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/kevin-spacey/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/kevin-spacey/
31) Taxi Driver,1976,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
30) Seven,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-fincher/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-fincher/
29) The Big Lebowski,1998,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/big-lebowski-review/
28) Casablanca,1942,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/casablanca-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/casablanca-review/
