name,price,stock,color,size,material,link
Twist-Back Long Sleeve Bra Top in Black,IDR 415.650,8 IN STOCK,Black,"Black,S,M,L,XL",no_material,https://loveandflair.com//products/twist-back-long-sleeve-bra-top-in-black
Endure Top in Steel Blue,IDR 399.000,1 IN STOCK,Steel Blue,"XS,S,M,L,Steel Blue",no_material,https://loveandflair.com//products/endure-top-in-steel-blue
Seamless Nursing Bra in Light Pink (3 Left),IDR 164.500,2 IN STOCK,Light Pink,"M,L,XL,XXL,Light Pink",no_material,https://loveandflair.com//products/seamless-nursing-bra-in-light-pink
Luxe+ Contoured Jacket in Moss,IDR 699.000,3 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/luxe-contoured-jacket-in-moss
Boast Contrast Bra Top in Black,IDR 470.000,2 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/boast-contrast-bra-top-in-black
Cuddle Hoodie in Steel Blue,IDR 269.550,5 IN STOCK,no_colr,"Steel Blue,S,M,L,XL",no_material,https://loveandflair.com//products/cuddle-hoodie-in-steel-blue-1
Peak Zip-Bra in Black,IDR 249.000,6 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/peak-zip-bra-in-black
Essence Straight Pants in Black,IDR 499.000,7 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/essence-straight-pants-in-black
Highlight Legging in Moss,IDR 424.150,2 IN STOCK,Moss,"Moss,S,M,L,XL",no_material,https://loveandflair.com//products/highlight-legging-in-moss
Twirl Skirt in White,IDR 499.000,10 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/twirl-skirt-in-white
Speed Up Jacket in Eggshell (LAST PIECES),IDR 599.000,2 IN STOCK,Eggshell,"XS,S,M,L,Eggshell",no_material,https://loveandflair.com//products/speed-up-jacket-in-eggshell
