Title,Rating,Bought,Price,Full_link
"MasterPro by Bergner 6L Electric Pressure Cooker, 1500W, Use as Slow Cooker, Rice Cooker, Steamer, Yogurt Maker, Warmer etc, 12-Level Safety System, 24 Hours Set Up Preset Function (2 Years Warranty)",3.1 out of 5 stars,"(₹15,99,900₹15,99,900/100 g)","15,999",https://www.amazon.in/MasterPro-Pressure-Temperature-Detachable-12-Level/dp/B0CF5XVYHK/ref=sr_1_21?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-21
"Genuine Inner Pot for Instant Pot 6 Qt Pot for InstaPot Inner Cooking Pot Stainless Steel (Equivalent to IP-POT-SS304-60) Nonstick Pots for IP-DUO, LUX, CSG 6Qt",4.5 out of 5 stars,M.R.P:,"5,974.",https://www.amazon.in/InstaPot-Stainless-Equivalent-IP-POT-SS304-60-Nonstick/dp/B09STJ4XPQ/ref=sr_1_22?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-22
"Instant Pot Steamer Basket, Stainless Steel, Round, 6qt",4.5 out of 5 stars,N/A,"7,711",https://www.amazon.in/Steamer-Basket-Instant-Vegetable-Stainless/dp/B07T3C14LQ/ref=sr_1_23?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-23
Pigeon,3.8 out of 5 stars,4K+ bought in past month,899,https://www.amazon.in/Pigeon-Multipurpose-12173-Stainless-boiling/dp/B01I1LDZGA/ref=sr_1_24?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-24
AGARO,4.0 out of 5 stars,5K+ bought in past month,"1,798",https://www.amazon.in/AGARO-Variable-Temperature-Settings-Vegetable/dp/B071P7183Y/ref=sr_1_25?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-25
InstaCuppa,3.8 out of 5 stars,200+ bought in past month,"1,899",https://www.amazon.in/InstaCuppa-Nonstick-Portable-MultiKettle-Easy-Clean/dp/B0G4BQYZC4/ref=sr_1_26?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-26
Instant Pot,4.8 out of 5 stars,N/A,"3,203.",https://www.amazon.in/Genuine-Instant-Pot-Tempered-Glass/dp/B008FUJ2LK/ref=sr_1_27?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-27
Prestige,3.9 out of 5 stars,800+ bought in past month,"1,500",https://www.amazon.in/Prestige-Multi-Cooker-Litre-PMC/dp/B07TPJRT8C/ref=sr_1_28?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-28
"Air Fryer Liners disposable for Instant Pot Vortex Plus 6QT XL Air Fryer, 100pcs Parchment Paper",4.5 out of 5 stars,(₹1.64₹1.64/count),164,https://www.amazon.in/Liners-disposable-Instant-Vortex-100pcs/dp/B0DK3XYGNY/ref=sr_1_29?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-29
"6 Ltr Pressure Cooker Nylon Cover with Storage Pockets, Waterproof & Dustproof Kitchen Appliance Cover for Instant Pot, Crock-Pot, Ninja Foodi, Storage Organizer with Pouches, (36x34 cm)",No rating,M.R.P:,275,https://www.amazon.in/PrimeCover-Waterproof-Dustproof-Appliance-Crock-Pot/dp/B0GKX14MHZ/ref=sr_1_30?dib=eyJ2IjoiMSJ9.vloIg2cSahCyLiNY1HPoG2SDlj2YyVIJuZ26C8ai9Jmo_vPp-S_PKdtD_ivRF4iDU42b1E-wuBNlMK5o_ZJkuOoUvWPXoRY81OwP6QvU8WzDlKrwxorSiBC-XSPcVwKAuRnzRuG3KE_TSsa-bBCYcd65Qh4qVqx4EyWSO63o1TS3Ab9ial23vBSX-5QaLYIFBVhWXlQ9Vsf2WGuIDfNgBWbIGvE_rrFtzdFf4z7hwC8.dUaO7NvUBVaQ-F0Coi-paU_-0lUGiz8eZkDSkys24ms&dib_tag=se&keywords=instant+pot&qid=1777034122&sr=8-30
